,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,134,456,6.806,5,0.949,0.2991651535413086
1,142,506,7.127,5,0.949,0.31372455299979723
2,158,552,6.987,5,0.955,0.3064102805400837
3,125,422,6.752,6,0.946,0.26807184967852193
4,134,499,7.448,5,0.944,0.2959703165682816
5,117,414,7.077,5,0.939,0.2842915277272052
6,114,349,6.123,5,0.946,0.28936120510762287
7,141,489,6.936,5,0.95,0.29632882455322823
8,141,505,7.163,6,0.949,0.2985283686544257
9,157,597,7.605,5,0.951,0.27391360411281646
10,118,421,7.136,5,0.939,0.28399642071256864
11,150,591,7.88,5,0.947,0.3050620198740217
12,178,742,8.337,5,0.953,0.3042978299410738
13,80,196,4.9,5,0.938,0.2901950064200926
14,109,338,6.202,5,0.943,0.3046379696208012
15,101,365,7.228,5,0.928,0.3096280027433335
16,121,412,6.81,5,0.943,0.30447960217819436
17,120,392,6.533,5,0.945,0.3063396283554833
18,113,392,6.938,6,0.938,0.3047277758336305
19,154,607,7.883,5,0.948,0.2865227277551542
20,156,598,7.667,6,0.951,0.2317380012370219
21,120,392,6.533,5,0.945,0.11600934417890948
22,105,316,6.019,5,0.942,0.2905538851069183
23,100,326,6.52,5,0.934,0.2974996281739186
24,104,341,6.558,6,0.936,0.2980557815953707
25,105,337,6.419,5,0.938,0.29058404740677257
26,91,295,6.484,5,0.928,0.2739675039957899
27,148,586,7.919,5,0.946,0.29425555053949454
28,97,259,5.34,5,0.944,0.29258215691378087
29,71,189,5.324,5,0.924,0.3167043777476537
30,98,306,6.245,5,0.936,0.31224407935703635
31,83,242,5.831,5,0.929,0.2917987916294334
32,62,129,4.161,5,0.932,0.29612954722042684
33,116,362,6.241,5,0.946,0.29443067675317286
34,135,468,6.933,6,0.948,0.2725795246313778
35,85,230,5.412,5,0.936,0.2924002943665154
36,120,419,6.983,5,0.941,0.2549375454998291
37,89,257,5.775,6,0.934,0.29176698287969544
38,134,439,6.552,5,0.951,0.28312223451368457
39,97,283,5.835,5,0.939,0.2711231814134099
40,117,432,7.385,5,0.936,0.25984397665497866
41,105,328,6.248,5,0.94,0.28721742800921646
42,81,213,5.259,5,0.934,0.2783164971558103
43,91,289,6.352,5,0.929,0.3039395508286026
44,88,260,5.909,5,0.932,0.29537933417196266
45,72,197,5.472,5,0.923,0.27700222323164186
46,121,377,6.231,6,0.948,0.27934553815578866
47,117,428,7.316,5,0.937,0.2677666555639202
48,81,229,5.654,5,0.929,0.2876618467302622
49,97,297,6.124,5,0.936,0.27821507047382443
50,137,549,8.015,5,0.941,0.2833182708461694
51,128,475,7.422,5,0.942,0.27127475350042385
52,89,282,6.337,5,0.928,0.2565497038029557
53,66,158,4.788,5,0.926,0.271934496909661
54,85,241,5.671,5,0.932,0.27118144221499213
55,67,157,4.687,5,0.929,0.28567748043534125
56,86,214,4.977,6,0.941,0.278271893544701
57,93,281,6.043,5,0.934,0.29295771295223844
58,81,191,4.716,5,0.941,0.27244622058336027
59,90,282,6.267,5,0.93,0.2562955489223518
