,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,164,588,7.171,6,0.956,0.03323871845448204
1,183,590,6.448,6,0.965,0.053802912998092714
2,173,612,7.075,6,0.959,0.08743342972285222
3,164,540,6.585,6,0.96,0.0622449231234999
4,147,543,7.388,6,0.949,0.033749506821275
5,165,574,6.958,6,0.958,0.05051807144721652
6,259,881,6.803,6,0.974,0.11246423851131106
7,152,546,7.184,6,0.952,0.019689925121385052
8,201,709,7.055,6,0.965,0.010417316685108848
9,205,716,6.985,6,0.966,0.01268827669113587
10,164,521,6.354,6,0.961,0.16723397199536555
11,194,579,5.969,6,0.969,0.022139968373839688
12,155,484,6.245,6,0.959,0.05780289746619018
13,159,472,5.937,6,0.962,0.11379605131375797
14,101,236,4.673,6,0.953,0.09209289912321832
15,124,418,6.742,6,0.945,0.04238554025442887
16,337,1321,7.84,6,0.977,0.03186852551835295
17,124,370,5.968,6,0.951,0.04803586997713094
18,102,252,4.941,6,0.951,0.04488293947597507
19,151,486,6.437,6,0.957,0.025160533076969745
20,150,452,6.027,6,0.96,0.060791270849997525
21,288,994,6.903,6,0.976,0.0336853614885627
22,124,387,6.242,6,0.949,0.04606006552162824
23,98,245,5.0,6,0.948,0.07271154480333487
24,134,344,5.134,6,0.961,0.004195261342248664
25,127,373,5.874,6,0.953,0.040363454195849184
26,120,366,6.1,6,0.949,0.03829400359876938
27,129,398,6.171,6,0.952,0.09823543475478065
28,114,268,4.702,6,0.958,0.06864107456811157
29,218,694,6.367,6,0.971,0.027581762796248226
30,162,583,7.198,6,0.955,0.054468550711546514
31,170,468,5.506,6,0.967,0.15081807016345175
32,135,369,5.467,6,0.959,0.004793059681995135
33,110,320,5.818,6,0.947,0.11141930199199745
34,162,500,6.173,6,0.962,0.06316280601347297
35,266,925,6.955,6,0.974,0.028488925361199766
36,109,311,5.706,6,0.947,0.07539137321375788
37,92,266,5.783,5,0.936,0.04503701306092336
38,142,390,5.493,6,0.961,0.10099824660287246
39,165,438,5.309,6,0.968,0.02013938336978177
40,162,440,5.432,6,0.966,0.08160698945991485
41,190,523,5.505,6,0.971,0.05398310452559726
42,92,217,4.717,6,0.948,0.03651295785372429
43,166,568,6.843,6,0.959,0.07855535278025169
44,109,275,5.046,6,0.953,0.07192363732615283
45,132,316,4.788,6,0.963,0.1238793280426748
46,142,504,7.099,5,0.95,0.022087220402659508
47,109,290,5.321,6,0.951,0.010911560254891579
48,108,298,5.519,6,0.948,0.018935744027284238
49,101,253,5.01,6,0.95,0.109618545051246
50,88,230,5.227,5,0.94,0.0701550545371026
51,138,337,4.884,6,0.964,0.04847403227019941
52,148,570,7.703,5,0.948,0.021550458339635613
53,254,849,6.685,6,0.974,0.014982033224172742
54,103,307,5.961,5,0.942,0.10534932757911375
55,84,224,5.333,6,0.936,0.04739142195517235
56,258,922,7.147,6,0.972,0.08633732675841703
57,133,382,5.744,6,0.956,0.0791031651682012
58,156,481,6.167,6,0.96,0.07897722467345422
59,97,238,4.907,6,0.949,0.044814835766748294
